     0,"2010 ES65  ","-                         ","K10E65S ",11.80,+0.15,2455350.6806298,  0,  0, 15, 15,"DV--", 26.900,  7.900,0.049,0.024,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2010 FH92  ","-                         ","K10F92H ",11.70,+0.15,2455273.3553835,  0,  0, 16, 16,"DVB-", 28.000,  0.600,0.047,0.007,-.999,-.999,0.730,0.023,"S","Bau13"
     0,"2010 GW64  ","-                         ","K10G64W ",14.90,+0.15,2455293.8245004,  0,  0, 13, 13,"DVB-",  6.420,  0.380,0.047,0.012,-.999,-.999,0.795,0.075,"S","Bau13"
     0,"2010 GW147 ","-                         ","K10GE7W ",13.20,+0.15,2455315.8461432,  0,  0,463,463,"DVB-", 15.900,  0.700,0.037,0.006,-.999,-.999,0.869,0.056,"S","Bau13"
     0,"2010 HU20  ","-                         ","K10H20U ",13.00,+0.15,2455306.7212793,  0,  0, 15, 15,"DVB-", 10.513,  1.100,0.101,0.024,-.999,-.999,0.976,0.162,"S","Bau13"
     0,"2010 JH124 ","-                         ","K10JC4H ",14.60,+0.15,2455330.0498412,  0,  0, 15, 15,"DVB-",  7.040,  0.740,0.052,0.024,-.999,-.999,0.959,0.164,"S","Bau13"
     0,"2010 KW7   ","-                         ","K10K07W ",15.50,+0.15,2455274.8032681,  0,  0, 24, 24,"DVB-",  4.870,  0.220,0.047,0.011,-.999,-.999,0.750,0.060,"S","Bau13"
     0,"2010 LG61  ","-                         ","K10L61G ",18.50,+0.15,2455384.0990434,  0,  0, 28, 28,"DV--",  0.890,  0.190,0.089,0.056,-.999,-.999,1.000,0.400,"S","Bau13"
     0,"2010 OR1   ","-                         ","K10O01R ",16.20,+0.15,2455308.3349143, 18,  0, 18, 18,"DVB-",  3.250,  0.640,0.055,0.013,-.999,-.999,0.831,0.146,"S","Bau13"
     0,"2010 OM101 ","-                         ","K10OA1M ",17.00,+0.15,2455317.1325250,  0,  0, 28, 28,"DVB-",  3.120,  0.170,0.029,0.005,-.999,-.999,1.054,0.105,"S","Bau13"
     0,"2010 PO58  ","-                         ","K10P58O ",14.50,+0.15,2455345.0330511,  0,  0, 27, 27,"DVB-",  8.880,  0.630,0.035,0.007,-.999,-.999,0.915,0.093,"S","Bau13"
     0,"2010 RM64  ","-                         ","K10R64M ",11.00,+0.15,2455358.1696482,  0,  0, 14, 14,"DVB-", 21.000,  2.000,0.159,0.048,-.999,-.999,0.850,0.144,"S","Bau13"
     0,"2010 TH    ","-                         ","K10T00H ", 9.20,+0.15,2455350.1615369,  0,  0,  0, 19,"DV--", 69.900, 24.200,0.078,0.033,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2010 WG9   ","-                         ","K10W09G ", 8.10,+0.15,2455251.4326039,  0,  0,  0, 23,"DV--",112.700, 61.900,0.074,0.080,-.999,-.999,0.800,0.400,"S","Bau13"
     0,"2011 MM4   ","-                         ","K11M04M ", 9.30,+0.15,2455278.8736110,  0,  0, 26, 26,"DVB-", 63.700,  6.200,0.083,0.024,-.999,-.999,0.841,0.119,"S","Bau13"
